#k i j head boundname
1 1 70 298.634 perimeter-heads
1 2 70 298.522 perimeter-heads
1 3 70 298.411 perimeter-heads
1 4 70 298.29 perimeter-heads
1 5 70 298.17 perimeter-heads
1 6 70 298.049 perimeter-heads
1 7 70 297.913 perimeter-heads
1 8 70 297.777 perimeter-heads
1 9 70 297.675 perimeter-heads
1 10 70 297.573 perimeter-heads
1 11 70 297.472 perimeter-heads
1 12 70 297.348 perimeter-heads
1 13 70 297.225 perimeter-heads
1 14 70 297.129 perimeter-heads
1 15 70 297.033 perimeter-heads
1 16 70 296.937 perimeter-heads
1 17 70 296.828 perimeter-heads
1 18 70 296.718 perimeter-heads
1 19 70 296.633 perimeter-heads
1 20 70 296.549 perimeter-heads
1 21 70 296.464 perimeter-heads
1 22 70 296.37 perimeter-heads
1 25 70 296.231 perimeter-heads
1 26 70 296.209 perimeter-heads
1 27 70 296.173 perimeter-heads
1 28 70 296.138 perimeter-heads
1 29 70 296.108 perimeter-heads
1 30 70 296.078 perimeter-heads
1 31 70 296.048 perimeter-heads
1 32 70 296.025 perimeter-heads
1 33 70 296.001 perimeter-heads
1 34 70 295.964 perimeter-heads
1 35 70 295.927 perimeter-heads
1 36 70 295.871 perimeter-heads
1 37 70 295.815 perimeter-heads
1 38 70 295.758 perimeter-heads
1 39 70 295.689 perimeter-heads
1 40 70 295.62 perimeter-heads
1 41 70 295.551 perimeter-heads
1 42 70 295.474 perimeter-heads
1 43 70 295.397 perimeter-heads
1 60 29 301.048 perimeter-heads
1 60 45 298.324 perimeter-heads
1 60 46 298.088 perimeter-heads
1 60 47 297.813 perimeter-heads
1 60 48 297.538 perimeter-heads
1 60 49 297.374 perimeter-heads
1 1 49 302.577 perimeter-heads
1 1 50 302.337 perimeter-heads
1 1 51 302.098 perimeter-heads
1 1 52 301.883 perimeter-heads
1 1 53 301.668 perimeter-heads
1 1 54 301.44 perimeter-heads
1 1 55 301.212 perimeter-heads
1 1 56 300.986 perimeter-heads
1 1 57 300.783 perimeter-heads
1 1 58 300.579 perimeter-heads
1 1 59 300.367 perimeter-heads
1 1 60 300.154 perimeter-heads
1 1 61 299.97 perimeter-heads
1 1 62 299.786 perimeter-heads
1 1 63 299.602 perimeter-heads
1 1 64 299.465 perimeter-heads
1 1 65 299.327 perimeter-heads
1 1 66 299.19 perimeter-heads
1 1 67 299.052 perimeter-heads
1 1 68 298.914 perimeter-heads
1 1 69 298.774 perimeter-heads
2 1 70 298.649 perimeter-heads
2 2 70 298.531 perimeter-heads
2 3 70 298.414 perimeter-heads
2 4 70 298.28 perimeter-heads
2 5 70 298.146 perimeter-heads
2 6 70 298.029 perimeter-heads
2 7 70 297.912 perimeter-heads
2 8 70 297.796 perimeter-heads
2 9 70 297.674 perimeter-heads
2 10 70 297.552 perimeter-heads
2 11 70 297.451 perimeter-heads
2 12 70 297.35 perimeter-heads
2 13 70 297.248 perimeter-heads
2 14 70 297.148 perimeter-heads
2 15 70 297.042 perimeter-heads
2 16 70 296.94 perimeter-heads
2 17 70 296.846 perimeter-heads
2 18 70 296.752 perimeter-heads
2 19 70 296.666 perimeter-heads
2 20 70 296.575 perimeter-heads
2 21 70 296.488 perimeter-heads
2 22 70 296.409 perimeter-heads
2 23 70 296.33 perimeter-heads
2 24 70 296.293 perimeter-heads
2 25 70 296.256 perimeter-heads
2 26 70 296.215 perimeter-heads
2 27 70 296.171 perimeter-heads
2 28 70 296.136 perimeter-heads
2 29 70 296.1 perimeter-heads
2 30 70 296.064 perimeter-heads
2 31 70 296.03 perimeter-heads
2 32 70 295.998 perimeter-heads
2 33 70 295.967 perimeter-heads
