#lakeno iconn k i j claktype bedleak belev telev connlen connwidth
1 1 1 27 31 vertical 0.045 0.0 0.0 0.0 0.0
1 2 1 27 40 vertical 0.025 0.0 0.0 0.0 0.0
1 3 1 30 33 vertical 0.025 0.0 0.0 0.0 0.0
1 4 1 30 42 vertical 0.025 0.0 0.0 0.0 0.0
1 5 1 34 30 vertical 0.025 0.0 0.0 0.0 0.0
1 6 1 34 39 vertical 0.025 0.0 0.0 0.0 0.0
1 7 1 26 35 vertical 0.025 0.0 0.0 0.0 0.0
1 8 1 34 48 vertical 0.025 0.0 0.0 0.0 0.0
1 9 1 26 44 vertical 0.025 0.0 0.0 0.0 0.0
1 10 1 35 31 vertical 0.025 0.0 0.0 0.0 0.0
1 11 1 38 27 vertical 0.025 0.0 0.0 0.0 0.0
1 12 1 38 36 vertical 0.025 0.0 0.0 0.0 0.0
1 13 1 37 49 vertical 0.025 0.0 0.0 0.0 0.0
1 14 1 30 28 vertical 0.045 0.0 0.0 0.0 0.0
1 15 1 41 28 vertical 0.025 0.0 0.0 0.0 0.0
1 16 1 30 37 vertical 0.025 0.0 0.0 0.0 0.0
1 17 1 30 46 vertical 0.025 0.0 0.0 0.0 0.0
1 18 1 41 46 vertical 0.025 0.0 0.0 0.0 0.0
1 19 1 42 29 vertical 0.025 0.0 0.0 0.0 0.0
1 20 1 34 34 vertical 0.025 0.0 0.0 0.0 0.0
1 21 1 34 43 vertical 0.025 0.0 0.0 0.0 0.0
1 22 1 26 39 vertical 0.045 0.0 0.0 0.0 0.0
1 23 1 26 48 vertical 0.025 0.0 0.0 0.0 0.0
1 24 1 38 31 vertical 0.025 0.0 0.0 0.0 0.0
1 25 1 37 35 vertical 0.025 0.0 0.0 0.0 0.0
1 26 1 37 44 vertical 0.025 0.0 0.0 0.0 0.0
1 27 1 29 40 vertical 0.025 0.0 0.0 0.0 0.0
1 28 1 29 49 vertical 0.025 0.0 0.0 0.0 0.0
1 29 1 30 32 vertical 0.025 0.0 0.0 0.0 0.0
1 30 1 41 32 vertical 0.045 0.0 0.0 0.0 0.0
1 31 1 30 41 vertical 0.025 0.0 0.0 0.0 0.0
1 32 1 30 50 vertical 0.025 0.0 0.0 0.0 0.0
1 33 1 34 29 vertical 0.025 0.0 0.0 0.0 0.0
1 34 1 34 38 vertical 0.025 0.0 0.0 0.0 0.0
1 35 1 26 34 vertical 0.045 0.0 0.0 0.0 0.0
1 36 1 26 43 vertical 0.025 0.0 0.0 0.0 0.0
1 37 1 33 42 vertical 0.025 0.0 0.0 0.0 0.0
1 38 1 25 47 vertical 0.025 0.0 0.0 0.0 0.0
1 39 1 36 47 vertical 0.025 0.0 0.0 0.0 0.0
1 40 1 37 30 vertical 0.025 0.0 0.0 0.0 0.0
1 41 1 37 39 vertical 0.025 0.0 0.0 0.0 0.0
1 42 1 29 35 vertical 0.025 0.0 0.0 0.0 0.0
1 43 1 37 48 vertical 0.025 0.0 0.0 0.0 0.0
1 44 1 29 44 vertical 0.025 0.0 0.0 0.0 0.0
1 45 1 41 27 vertical 0.025 0.0 0.0 0.0 0.0
1 46 1 30 36 vertical 0.025 0.0 0.0 0.0 0.0
1 47 1 30 45 vertical 0.025 0.0 0.0 0.0 0.0
1 48 1 41 45 vertical 0.025 0.0 0.0 0.0 0.0
1 49 1 33 37 vertical 0.025 0.0 0.0 0.0 0.0
1 50 1 33 46 vertical 0.025 0.0 0.0 0.0 0.0
1 51 1 36 42 vertical 0.025 0.0 0.0 0.0 0.0
1 52 1 37 34 vertical 0.045 0.0 0.0 0.0 0.0
1 53 1 29 30 vertical 0.025 0.0 0.0 0.0 0.0
